Symbol,name,sector,yahoo_symbol
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH.NS
PNB,Punjab National Bank,Financial Services,PNB.NS
RRKABEL,R R Kabel Ltd.,Capital Goods,RRKABEL.NS
RBLBANK,RBL Bank Ltd.,Financial Services,RBLBANK.NS
RECLTD,REC Ltd.,Financial Services,RECLTD.NS
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM.NS
RITES,RITES Ltd.,Construction,RITES.NS
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO.NS
RVNL,Rail Vikas Nigam Ltd.,Construction,RVNL.NS
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL.NS
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW.NS
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE.NS
RCF,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF.NS
REDINGTON,Redington Ltd.,Services,REDINGTON.NS
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS
RELINFRA,Reliance Infrastructure Ltd.,Power,RELINFRA.NS
RPOWER,Reliance Power Ltd.,Power,RPOWER.NS
SBFC,SBFC Finance Ltd.,Financial Services,SBFC.NS
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS
SJVN,SJVN Ltd.,Power,SJVN.NS
SKFINDIA,SKF India Ltd.,Automobile and Auto Components,SKFINDIA.NS
SRF,SRF Ltd.,Chemicals,SRF.NS
SAGILITY,Sagility Ltd.,Information Technology,SAGILITY.NS
SAILIFE,Sai Life Sciences Ltd.,Healthcare,SAILIFE.NS
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,SAMMAANCAP.NS
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON.NS
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE.NS
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN.NS
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,SAREGAMA.NS
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER.NS
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER.NS
SCI,Shipping Corporation of India Ltd.,Services,SCI.NS
SHREECEM,Shree Cement Ltd.,Construction Materials,SHREECEM.NS
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL.NS
ENRIN,Siemens Energy India Ltd.,Capital Goods,ENRIN.NS
SIEMENS,Siemens Ltd.,Capital Goods,SIEMENS.NS
SIGNATURE,Signatureglobal (India) Ltd.,Realty,SIGNATURE.NS
SOBHA,Sobha Ltd.,Realty,SOBHA.NS
SOLARINDS,Solar Industries India Ltd.,Chemicals,SOLARINDS.NS
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS
SONATSOFTW,Sonata Software Ltd.,Information Technology,SONATSOFTW.NS
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH.NS
SBIN,State Bank of India,Financial Services,SBIN.NS
SAIL,Steel Authority of India Ltd.,Metals & Mining,SAIL.NS
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM.NS
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV.NS
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN.NS
SUNDRMFAST,Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST.NS
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,SUPREMEIND.NS
SUZLON,Suzlon Energy Ltd.,Capital Goods,SUZLON.NS
SWANCORP,Swan Corp Ltd.,Chemicals,SWANCORP.NS
SWIGGY,Swiggy Ltd.,Consumer Services,SWIGGY.NS
SYNGENE,Syngene International Ltd.,Healthcare,SYNGENE.NS
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,SYRMA.NS
TBOTEK,TBO Tek Ltd.,Consumer Services,TBOTEK.NS
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS
TATACHEM,Tata Chemicals Ltd.,Chemicals,TATACHEM.NS
TATACOMM,Tata Communications Ltd.,Telecommunication,TATACOMM.NS
TCS,Tata Consultancy Services Ltd.,Information Technology,TCS.NS
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS
TATAELXSI,Tata Elxsi Ltd.,Information Technology,TATAELXSI.NS
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST.NS
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV.NS
TATAPOWER,Tata Power Co. Ltd.,Power,TATAPOWER.NS
TATASTEEL,Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS
TATATECH,Tata Technologies Ltd.,Information Technology,TATATECH.NS
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML.NS
TECHM,Tech Mahindra Ltd.,Information Technology,TECHM.NS
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,TECHNOE.NS
TEJASNET,Tejas Networks Ltd.,Telecommunication,TEJASNET.NS
NIACL,The New India Assurance Company Ltd.,Financial Services,NIACL.NS
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM.NS
THERMAX,Thermax Ltd.,Capital Goods,THERMAX.NS
TIMKEN,Timken India Ltd.,Capital Goods,TIMKEN.NS
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH.NS
TITAN,Titan Company Ltd.,Consumer Durables,TITAN.NS
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM.NS
TORNTPOWER,Torrent Power Ltd.,Power,TORNTPOWER.NS
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL.NS
TRENT,Trent Ltd.,Consumer Services,TRENT.NS
TRIDENT,Trident Ltd.,Textiles,TRIDENT.NS
TRIVENI,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI.NS
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,TRITURBINE.NS
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA.NS
UCOBANK,UCO Bank,Financial Services,UCOBANK.NS
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA.NS
UPL,UPL Ltd.,Chemicals,UPL.NS
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,UTIAMC.NS
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS
UNIONBANK,Union Bank of India,Financial Services,UNIONBANK.NS
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,UBL.NS
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR.NS
USHAMART,Usha Martin Ltd.,Capital Goods,USHAMART.NS
VGUARD,V-Guard Industries Ltd.,Consumer Durables,VGUARD.NS
DBREALTY,Valor Estate Ltd.,Consumer Services,DBREALTY.NS
VTL,Vardhman Textiles Ltd.,Textiles,VTL.NS
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS
MANYAVAR,Vedant Fashions Ltd.,Consumer Services,MANYAVAR.NS
VEDL,Vedanta Ltd.,Metals & Mining,VEDL.NS
VENTIVE,Ventive Hospitality Ltd.,Consumer Services,VENTIVE.NS
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA.NS
VMM,Vishal Mega Mart Ltd.,Consumer Services,VMM.NS
IDEA,Vodafone Idea Ltd.,Telecommunication,IDEA.NS
VOLTAS,Voltas Ltd.,Consumer Durables,VOLTAS.NS
WAAREEENER,Waaree Energies Ltd.,Capital Goods,WAAREEENER.NS
WELCORP,Welspun Corp Ltd.,Capital Goods,WELCORP.NS
WELSPUNLIV,Welspun Living Ltd.,Textiles,WELSPUNLIV.NS
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL.NS
WIPRO,Wipro Ltd.,Information Technology,WIPRO.NS
WOCKPHARMA,Wockhardt Ltd.,Healthcare,WOCKPHARMA.NS
YESBANK,Yes Bank Ltd.,Financial Services,YESBANK.NS
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA.NS
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS
ZENTEC,Zen Technologies Ltd.,Capital Goods,ZENTEC.NS
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH.NS
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE.NS
ECLERX,eClerx Services Ltd.,Services,ECLERX.NS
