symbol,name,sector,cap,angel_token
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Engineering,Mid,539876
CUB,City Union Bank Ltd.,Financial Services,Mid,532210
CUMMINSIND,Cummins India,Engineering,Mid,1213
CYIENT,Cyient Ltd.,IT,Mid,532175
DALBHARAT,Dalmia Bharat Ltd.,Building Materials,Mid,3494
DATAPATTNS,Data Patterns,Defence,Mid,536512
DCMSHRIRAM,DCM Shriram Ltd.,Engineering,Mid,523367
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,Mid,500645
DEEPAKNTR,Deepak Nitrite,Chemicals,Mid,10604
DELHIVERY,Delhivery,New Age Tech,Mid,543529
DEVYANI,Devyani International Ltd.,Retail,Mid,543330
DIXON,Dixon Technologies,Engineering,Mid,528267
DOMS,DOMS Industries Ltd.,FMCG,Mid,543456
EASEMYTRIP,Easy Trip Planners Ltd.,Logistics,Mid,543530
EIDPARRY,E.I.D. Parry (India) Ltd.,Chemicals,Mid,500135
EIHOTEL,EIH Ltd.,Retail,Mid,500840
ELECON,Elecon Engineering Co. Ltd.,Engineering,Mid,505700
ELGIEQUIP,Elgi Equipments Ltd.,Engineering,Mid,522074
EMAMILTD,Emami,FMCG,Mid,13361
ENDURANCE,Endurance Technologies,Auto,Mid,19455
ENGINERSIN,Engineers India Ltd.,Engineering,Mid,532967
EPL,EPL Ltd.,Engineering,Mid,500135
EQUITASBNK,Equitas Small Finance Bank Ltd.,Financial Services,Mid,543243
ERIS,Eris Lifesciences Ltd.,Healthcare,Mid,540596
ESCORTS,Escorts Kubota Ltd.,Engineering,Mid,2707
EXIDEIND,Exide Industries,Auto,Mid,954
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,Mid,500139
FDC,FDC Ltd.,Healthcare,Mid,531599
FEDERALBNK,Federal Bank,Financial Services,Mid,1023
FINCABLES,Finolex Cables Ltd.,Engineering,Mid,500144
FINEORG,Fine Organic Industries Ltd.,Chemicals,Mid,541557
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,Mid,543356
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,Mid,519570
FORTIS,Fortis Healthcare,Healthcare,Mid,532523
FSL,Firstsource Solutions Ltd.,Financial Services,Mid,532809
GAEL,Gujarat Ambuja Exports Ltd.,FMCG,Mid,519003
GAIL,GAIL (India) Ltd.,Energy,Mid,532155
GESHIP,Great Eastern Shipping Co. Ltd.,Logistics,Mid,532310
GICRE,General Insurance Corporation of India,Financial Services,Mid,540755
GILLETTE,Gillette India Ltd.,FMCG,Mid,507815
GLAND,Gland Pharma,Healthcare,Mid,543245
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Mid,500660
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,Mid,532296
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals,Mid,532181
GMMPFAUDLR,GMM Pfaudler Ltd.,Engineering,Mid,505255
GMRINFRASTRUCT,GMR Airports Infrastructure Ltd.,Logistics,Mid,532754
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,Mid,500172
GODFRYPHLP,Godfrey Phillips India Ltd.,FMCG,Mid,500163
GODREJIND,Godrej Industries,FMCG,Mid,500164
GPIL,Godawari Power & Ispat Ltd.,Engineering,Mid,543327
GPPL,Gujarat Pipavav Port Ltd.,Logistics,Mid,533248
GRANULES,Granules India Ltd.,Healthcare,Mid,524468
GRAPHITE,Graphite India Ltd.,Engineering,Mid,509488
GRSE,Garden Reach Shipbuilders,Defence,Mid,542351
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,Mid,500690
GSPL,Gujarat State Petronet Ltd.,Energy,Mid,532702
GUJGASLTD,Gujarat Gas Ltd.,Energy,Mid,539336
HAPPYFORGE,Happy Forgings Ltd.,Engineering,Mid,543592
HBLENGINE,HBL Power Systems Ltd.,Auto,Mid,509631
HDFCAMC,HDFC AMC,Financial Services,Mid,4244
HEG,H.E.G. Ltd.,Engineering,Mid,509631
HFCL,HFCL Ltd.,Telecom,Mid,500183
HINDCOPPER,Hindustan Copper Ltd.,Metals,Mid,513599
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Energy,Mid,1438
HINDZINC,Hindustan Zinc Ltd.,Metals,Mid,500188
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,Mid,543259
HONASA,Honasa Consumer Ltd.,FMCG,Mid,543532
HONAUT,Honeywell Automation India Ltd.,Engineering,Mid,517174
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,Mid,500203
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,Mid,540530
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,Mid,540716
IDBI,IDBI Bank Ltd.,Financial Services,Mid,11602
IDFCFIRSTB,IDFC First Bank,Financial Services,Mid,14707
IEX,Indian Energy Exchange Ltd.,Financial Services,Mid,543270
IFCI,IFCI Ltd.,Financial Services,Mid,500106
IGL,Indraprastha Gas Ltd.,Energy,Mid,532514
IIFL,IIFL Finance Ltd.,Financial Services,Mid,532636
INDHOTEL,Indian Hotels Co. Ltd.,Retail,Mid,500850
INDIACEM,India Cements Ltd.,Building Materials,Mid,4592
INDIAMART,IndiaMart InterMesh,New Age Tech,Mid,542726
INDIANB,Indian Bank,Financial Services,Mid,532814
INDIGOPNTS,Indigo Paints Ltd.,Retail,Mid,543512
INOXWIND,Inox Wind Ltd.,Engineering,Mid,542812
INTELLECT,Intellect Design Arena Ltd.,IT,Mid,538835
IOB,Indian Overseas Bank,Financial Services,Mid,532388
IPCALAB,IPCA Laboratories,Healthcare,Mid,3718
IRB,IRB Infrastructure Developers Ltd.,Engineering,Mid,532628
IRCON,Ircon International,Engineering,Mid,541956
IRCTC,IRCTC,Logistics,Mid,542830
IREDA,IREDA,Financial Services,Mid,543957
IRFC,Indian Railway Finance,Financial Services,Mid,542769
ISEC,ICICI Securities Ltd.,Financial Services,Mid,541179
ITI,ITI Ltd.,Telecom,Mid,523610
JSPL,Jindal Steel & Power,Metals,Mid,3411
JUBLFOOD,Jubilant FoodWorks,FMCG,Mid,18096
KAJARIA,Kajaria Ceramics,Building Materials,Mid,3817
KALYANKJIL,Kalyan Jewellers,Engineering,Mid,543278
KAYNES,Kaynes Technology,Engineering,Mid,543278
KEC,KEC International,Engineering,Mid,3403
KPITTECH,KPIT Technologies,IT,Mid,543263
LALPATHLAB,Dr Lal PathLabs,Healthcare,Mid,543320
LICHSGFIN,LIC Housing Finance,Financial Services,Mid,1499
LTTS,L&T Technology Services,IT,Mid,18552
M&MFIN,M&M Financial Services,Financial Services,Mid,2031
MANAPPURAM,Manappuram Finance,Financial Services,Mid,19061
MAXHEALTH,Max Healthcare,Healthcare,Mid,543220
MAZDOCK,Mazagon Dock,Defence,Mid,543378
MCDOWELL-N,United Breweries,FMCG,Mid,532756
MEDANTA,Global Health Ltd.,Healthcare,Mid,543426
MFSL,Max Financial Services,Financial Services,Mid,4213
MINDACORP,Minda Corporation,Auto,Mid,4245
MPHASIS,Mphasis,IT,Mid,4503
MTARTECH,MTAR Technologies,Defence,Mid,542650
MUTHOOTFIN,Muthoot Finance,Financial Services,Mid,3012
NAVINFLUOR,Navin Fluorine,Chemicals,Mid,3731
NHPC,NHPC,Energy,Mid,533206
NIACL,New India Assurance,Financial Services,Mid,540726
NMDC,NMDC,Metals,Mid,3083
NYKAA,FSN E-Commerce Ventures Ltd.,Retail,Mid,543384
OBEROIRLTY,Oberoi Realty,Real Estate,Mid,532388
PAGEIND,Page Industries,Retail,Mid,532827
PAYTM,One97 Communications,New Age Tech,Mid,543539
PERSISTENT,Persistent Systems,IT,Mid,18365
PGHH,Procter & Gamble,FMCG,Mid,500459
PHOENIXLTD,Phoenix Mills,Real Estate,Mid,503100
PIIND,PI Industries,Chemicals,Mid,2873
PNB,Punjab National Bank,Financial Services,Mid,10666
POLICYBZR,PB Fintech,New Age Tech,Mid,543390
POWERINDIA,Hitachi Energy India Ltd.,Engineering,Mid,543300
PRESTIGE,Prestige Estates,Real Estate,Mid,533274
RADICO,Radico Khaitan,FMCG,Mid,3285
RECLTD,REC Limited,Financial Services,Mid,21614
RVNL,Rail Vikas Nigam,Engineering,Mid,543366
SBICARD,SBI Cards,Financial Services,Mid,543066
SCHAEFFLER,Schaeffler India,Engineering,Mid,523710
SHYAMMETL,Shyam Metalics,Metals,Mid,543289
SJVN,SJVN,Energy,Mid,533206
SOLARINDS,Solar Industries,Defence,Mid,20374
SRF,SRF,Chemicals,Mid,3315
SUPREMEIND,Supreme Industries,Engineering,Mid,3430
TATAELXSI,Tata Elxsi,IT,Mid,2534
TATAPOWER,Tata Power,Energy,Mid,3426
THERMAX,Thermax,Engineering,Mid,3477
TIINDIA,Tube Investments of India,Auto,Mid,4106
TORNTPHARM,Torrent Pharmaceuticals,Healthcare,Mid,3518
TORNTPOWER,Torrent Power,Energy,Mid,532779
UNIONBANK,Union Bank of India,Financial Services,Mid,10532
UNITDSPR,United Spirits,FMCG,Mid,532432
UNOMINDA,Uno Minda,Auto,Mid,6459
VBL,Varun Beverages,FMCG,Mid,11500
VOLTAS,Voltas,Engineering,Mid,3718
AARTIPHARM,Aarti Pharmalabs,Chemicals,Small,543268
ANURAS,Anuras Industries,Chemicals,Small,543725
BALAMINES,Balaji Amines,Chemicals,Small,535843
BLUEDART,Blue Dart Express,Logistics,Small,526612
BRIGADE,Brigade Enterprises,Real Estate,Small,532929
BSOFT,BIRLASOFT,IT,Small,532337
CAMPUS,Campus Activewear,Retail,Small,543276
CARTRADE,CarTrade Tech,New Age Tech,Small,543327
CEATLTD,CEAT,Auto,Small,3301
CENTURYPLY,Century Plyboards,Building Materials,Small,532548
CESC,CESC,Energy,Small,500084
CLEAN,Clean Science,Chemicals,Small,543318
ECLERX,eClerx Services Ltd.,Financial Services,Small,532975
FINPIPE,Fine Organic Industries,Chemicals,Small,541557
GREENPANEL,Greenpanel Industries,Building Materials,Small,542857
GRINDWELL,Grindwell Norton,Engineering,Small,3412
HAPPSTMNDS,Happiest Minds,IT,Small,543227
IDEA,Vodafone Idea,Telecom,Small,14977
IFBIND,IFB Industries,Engineering,Small,1327
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,Small,532209
JAIBALAJI,Jai Balaji Industries Ltd.,Metals,Small,532624
JBCHEPHARM,J.B. Chemicals,Healthcare,Small,2031
JBMA,JBM Auto Ltd.,Auto,Small,543321
JINDALSAW,Jindal Saw Ltd.,Engineering,Small,500378
JKCEMENT,J.K. Cement Ltd.,Building Materials,Small,532644
JKLAKSHMI,JK Lakshmi Cement Ltd.,Building Materials,Small,500380
JKPAPER,JK Paper Ltd.,Building Materials,Small,4457
JMFINANCIL,JM Financial Ltd.,Financial Services,Small,523405
JSL,Jindal Stainless Ltd.,Metals,Small,500228
JSWENERGY,JSW Energy Ltd.,Energy,Small,533148
JSWINFRA,JSW Infrastructure Ltd.,Logistics,Small,543529
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,Small,533259
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,Small,530019
JUSTDIAL,Justdial Ltd.,New Age Tech,Small,535648
JWL,Jupiter Wagons Ltd.,Engineering,Small,543264
JYOTHYLAB,Jyothy Labs,FMCG,Small,532926
KANSAINER,Kansai Nerolac Paints Ltd.,Retail,Small,500215
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,Small,590003
KEI,KEI Industries Ltd.,Engineering,Small,517569
KFINTECH,Kfin Technologies Ltd.,Financial Services,Small,543258
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,Small,543308
KNRCON,KNR Constructions Ltd.,Engineering,Small,532942
KPIL,Kalpataru Projects International Ltd.,Engineering,Small,532666
KPRMILL,K.P.R. Mill Ltd.,Retail,Small,532889
KRBL,KRBL Ltd.,FMCG,Small,530813
KRSNAA,Krsnaa Diagnostics,Healthcare,Small,543328
KSB,KSB Ltd.,Engineering,Small,4157
LATENTVIEW,Latent View Analytics Ltd.,IT,Small,543261
LAURUSLABS,Laurus Labs Ltd.,Healthcare,Small,540222
LEMONTREE,Lemon Tree Hotels Ltd.,Retail,Small,541086
LINDEINDIA,Linde India Ltd.,Chemicals,Small,523457
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals,Small,539992
LTF,L&T Finance Ltd.,Financial Services,Small,533519
LXCHEM,Laxmi Organic Industries Ltd.,Chemicals,Small,542463
MAHLIFE,Mahindra Lifespace Developers Ltd.,Real Estate,Small,500108
MAHLOG,Mahindra Logistics,Logistics,Small,540768
MAHSEAMLES,Maharashtra Seamless Ltd.,Engineering,Small,500265
MANKIND,Mankind Pharma Ltd.,Healthcare,Small,543390
MANYAVAR,Vedant Fashions Ltd.,Retail,Small,543262
MAPMYINDIA,MapMyIndia,IT,Small,543425
MASTEK,Mastek,IT,Small,4150
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,Small,534091
MEDPLUS,Medplus Health Services Ltd.,New Age Tech,Small,543741
METROBRAND,Metro Brands Ltd.,Retail,Small,543248
METROPOLIS,Metropolis Healthcare,Healthcare,Small,543204
MGL,Mahanagar Gas Ltd.,Energy,Small,539957
MHRIL,Mahindra Holidays & Resorts India Ltd.,Logistics,Small,523704
MMTC,MMTC Ltd.,Logistics,Small,513377
MOIL,MOIL,Metals,Small,531538
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,Small,532892
MRF,MRF Ltd.,Auto,Small,500290
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Energy,Small,10238
MSUMI,Motherson Sumi Wiring India Ltd.,Auto,Small,531642
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,Small,536671
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,Small,524816
NATIONALUM,National Aluminium Co. Ltd.,Metals,Small,532234
NAZARA,Nazara Technologies,IT,Small,543458
NBCC,NBCC (India) Ltd.,Engineering,Small,534309
NCC,NCC Ltd.,Engineering,Small,500294
NETWORK18,Network18 Media & Investments Ltd.,Retail,Small,532798
NH,Narayana Hrudayalaya Ltd.,Healthcare,Small,535064
NIITTECH,NIIT Technologies,IT,Small,4155
NLCINDIA,NLC India Ltd.,Energy,Small,532788
NOCIL,NOCIL,Chemicals,Small,2992
NSLNISP,NMDC Steel Ltd.,Metals,Small,536286
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,Small,542924
NUVOCO,Nuvoco Vistas Corporation Ltd.,Building Materials,Small,543144
OFSS,Oracle Financial Services Software Ltd.,IT,Small,4516
OIL,Oil India Ltd.,Energy,Small,533106
OLECTRA,Olectra Greentech Ltd.,Auto,Small,532439
PARAS,Paras Defence,Defence,Small,19229
PATANJALI,Patanjali Foods Ltd.,FMCG,Small,543258
PCBL,PCBL Ltd.,Chemicals,Small,523694
PEL,Piramal Enterprises Ltd.,Financial Services,Small,523698
PETRONET,Petronet LNG Ltd.,Energy,Small,532522
PNBHOUSING,PNB Housing Finance,Financial Services,Small,3717
PNCINFRA,PNC Infratech Ltd.,Engineering,Small,539150
POLYCAB,Polycab India Ltd.,Engineering,Small,542652
POLYMED,Poly Medicure Ltd.,Healthcare,Small,542527
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,Small,524000
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,Small,543522
PRAJIND,Praj Industries Ltd.,Engineering,Small,522205
PRINCEPIPE,Prince Pipes,Building Materials,Small,542907
PRSMJOHNSN,Prism Johnson Ltd.,Building Materials,Small,500378
PVRINOX,PVR INOX Ltd.,Retail,Small,532693
QUESS,Quess Corp Ltd.,Logistics,Small,539978
RAILTEL,Railtel Corporation Of India Ltd.,Telecom,Small,543265
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,Small,543524
RAJESHEXPO,Rajesh Exports Ltd.,Retail,Small,531500
RAMCOCEM,The Ramco Cements Ltd.,Building Materials,Small,500260
RATNAMANI,Ratnamani Metals,Metals,Small,520111
RAYMOND,Raymond Ltd.,Retail,Small,3388
RBA,Restaurant Brands Asia Ltd.,Retail,Small,543257
RBLBANK,RBL Bank Ltd.,Financial Services,Small,540065
RCF,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,Small,500410
REDINGTON,Redington Ltd.,Logistics,Small,532805
RELAXO,Relaxo Footwears,Retail,Small,530517
RENUKA,Shree Renuka Sugars Ltd.,FMCG,Small,532670
RHIM,RHI MAGNESITA INDIA LTD.,Engineering,Small,508860
RITES,RITES Ltd.,Engineering,Small,541556
RKFORGE,Ramkrishna Forgings Ltd.,Auto,Small,532987
ROUTE,Route Mobile Ltd.,Telecom,Small,543226
RRKABEL,R R Kabel Ltd.,Engineering,Small,543580
RTNINDIA,RattanIndia Enterprises Ltd.,New Age Tech,Small,539542
SAFARI,Safari Industries (India) Ltd.,Engineering,Small,523401
SAIL,Steel Authority of India Ltd.,Metals,Small,500113
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,Small,543564
SANOFI,Sanofi India Ltd.,Healthcare,Small,500674
SAPPHIRE,Sapphire Foods India Ltd.,Retail,Small,543397
SAREGAMA,Saregama India Ltd,Retail,Small,532163
SBFC,SBFC Finance Ltd.,Financial Services,Small,543959
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Engineering,Small,534414
SHARDAMOTR,Sharda Motor,Auto,Small,20216
SHOPERSTOP,Shoppers Stop,Retail,Small,532638
SHREECEM,Shree Cement Ltd.,Building Materials,Small,3425
SIGNATURE,Signatureglobal (India) Ltd.,Real Estate,Small,543255
SKFINDIA,SKF India Ltd.,Engineering,Small,500472
SOBHA,Sobha Ltd.,Real Estate,Small,532784
